,parent,id,Performance Title,composer_text,original_date,date_start,orchestra,Venue Name,Venue Town,seonametown
0,1,101,Der Freischutz; Overture,Weber,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
1,1,1798,Symphony No1 in C,Beethoven,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
2,1,2987,Symphony in E flat; Andante in A flat,Mozart,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
3,1,3950,The Syren; Overture,Auber,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
4,1,3952,The Siege of Corinth; Overture,Rossini,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
5,1,8442,Songs without words: piano solo; 3 selections,Mendelssohn,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
6,1,8443,The Damnation of Faust; Ballet des Sylphes,Berlioz,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
7,1,8444,Concertstuck in F Minor,Weber,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
8,1,8445,Il Trovatore; Selection arranged by M Baetens,Verdi,30th Jan 1858,1858-01-30,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
9,2,4548,The Creation,Haydn,3rd Apr 1858,1858-04-03,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
10,3,1799,Symphony No39 in E flat,Mozart,10th Apr 1858,1858-04-10,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
11,3,1800,Le Dieu et la Bayadere; Overture,Auber,10th Apr 1858,1858-04-10,Hallé Orchestra; 1857-,Free Trade Hall,Manchester,manchester-free-trade-hall
