parent,id,"Performance Title",composer_text,"Concert Title",original_date,date_start,orchestra,"Venue Name","Venue Town",seonametown
390,19009,"Sylvia. Ballet Music",Delibes,"Sylvia. Ballet Music","17th May 1949",1949-05-17,"Hallé Orchestra; 1857-","Rialto Cinema",York,york-rialto-cinema
411,12201,"Serenata: Acis and Galatea",Handel,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12202,"Symphony No2 in D",Beethoven,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12203,"Robert le Diable: Aria, 'Invano il fato'",Meyerbeer,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12204,"Song: 'The Distant Shore'",Sullivan,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12205,"Liebeslied",Taubert,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12206,"Romeo and Juliet: Duet [not specified]",Gounod,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12207,"La Juive; Aria 'Se il rigor'",Halevy,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12208,"Tannhauser; March & Chorus",Wagner,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12209,"Masaniello; Overture",Auber,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
411,12210,"The May Queen; Trio 'The Hawthorn in the Glade'",Bennett,"Serenata: Acis and Galatea","23rd November 1877",1877-11-23,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
412,12233,"Symphony No2 in B flat (Hymn of Praise)",Mendelssohn,"Symphony No2 in B flat (Hymn of Praise)","24th November 1877",1877-11-24,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
412,12234,"Overture, Scherzo and Finale in E",Schumann,"Symphony No2 in B flat (Hymn of Praise)","24th November 1877",1877-11-24,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
412,12235,"Stabat Mater",Rossini,"Symphony No2 in B flat (Hymn of Praise)","24th November 1877",1877-11-24,"Hallé Orchestra; 1857-","Colston Hall",Bristol,bristol-colston-hall
855,6864,"Overture, Egmont",Beethoven,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,7237,"Overture, Tannhauser",Wagner,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,7243,"Prelude to Act III, Die Meistersinger",Wagner,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,10844,"Symphony Pathetique",Tchaikovsky,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,10845,"Good Friday Music [Parsifal]",Wagner,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,10846,"La Jota Aragonesa",Glinka,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
855,10847,"Overture, Carnaval Romain",Berlioz,NULL,"15 Nov 1899",1899-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
856,7264,"Hamlet Overture",Tchaikovsky,NULL,"24 Feb 1900",1900-02-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
856,10855,"Overture, Tannhauser",Wagner,NULL,"24 Feb 1900",1900-02-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
856,10856,"Legend: Zorahayda",Svensden,NULL,"24 Feb 1900",1900-02-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
856,10858,"Hungarian Rhapsody No4",Liszt,NULL,"24 Feb 1900",1900-02-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
856,10859,"Symphony No1 in C Minor",Brahms,NULL,"24 Feb 1900",1900-02-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
