parent,id,"Performance Title",composer_text,"Concert Title",original_date,date_start,venue,orchestra
1,101,"Der Freischutz; Overture",Weber,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"1st Concert of the 1st Season","30th Jan 1858",1858-01-30,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"10th Concert of the 1st Season","3rd Apr 1858",1858-04-03,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"11th Concert of the 1st Season","10th Apr 1858",1858-04-10,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"12th Concert of the 1st Season","17th Apr 1858",1858-04-17,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"13th Concert of the 1st Season","24th Apr 1858",1858-04-24,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"14th Concert of the 1st Season","1st May 1858",1858-05-01,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"15th Concert of the 1st Season","8th May 1858",1858-05-08,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"16th Concert of the 1st Season","15th May 1858",1858-05-15,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"2nd Concert of the 1st Season","6th Feb 1858",1858-02-06,141,"Hallé Orchestra; 1857-"
1,101,"Der Freischutz; Overture",Weber,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,1798,"Symphony No1 in C",Beethoven,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,2987,"Symphony in E flat; Andante in A flat",Mozart,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,3950,"The Syren; Overture",Auber,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,3952,"The Siege of Corinth; Overture",Rossini,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,8442,"Songs without words, piano solo; 3 selections",Mendelssohn,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,8443,"The Damnation of Faust; Ballet des Sylphes",Berlioz,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,8444,"Concertstuck in F Minor",Weber,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
1,8445,"Il Trovatore; Selection arranged by M Baetens",Verdi,"3rd Concert of the 1st Season","13th Feb 1858",1858-02-13,141,"Hallé Orchestra; 1857-"
