yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-6.153,55.181
1961,7,14.4,8.7,,
1961,8,15.9,8.7,,
1961,9,15.8,8.5,,
1961,10,12.1,5.8,,
1961,11,---,---,,
1961,12,5.4,0,,
1962,1,6.8,0.5,,
1962,2,7,1.5,,
1962,3,5.3,-1.5,,
1962,4,10.2,2,,
1962,5,12,4.6,,
1962,6,15.1,7.3,,
1962,7,15.4,8.5,,
1962,8,15.3,8.8,,
1962,9,13.5,7.8,,
1962,10,12.3,7,,
1962,11,8.1,3,,
1962,12,6.5,2,,
1963,1,2.6,-1.4,,
1963,2,3.1,-1.6,,
1963,3,8.6,2.1,,
1963,4,9.6,3.7,,
1963,5,11.8,4.6,,
1963,6,16,8.7,,
1963,7,16.1,9.1,,
1963,8,14.9,9.1,,
1963,9,14.4,8.3,,
1963,10,12.6,7.3,,
1963,11,9.1,3.9,,
1963,12,6.1,1.8,,
1964,1,7.1,2.9,,
1964,2,6.5,2,,
1964,3,6.3,2,,
1964,4,10.9,4.2,,
1964,5,14.8,6.7,,
1964,6,14.2,8.3,,
1964,7,15.8,9.6,,
1964,8,16,9.4,,
1964,9,15.1,9,,
1964,10,11.4,6,,
1964,11,9.8,3.9,,
1964,12,6.3,0.8,,
1965,1,5.1,0.3,,
1965,2,6,0.5,,
1965,3,7.2,1.2,,
1965,4,10,3.2,,
1965,5,12.8,6,,
1965,6,15.4,8.3,,
1965,7,14.1,8.2,,
1965,8,15.3,8.4,,
1965,9,13.7,7.4,,
1965,10,12.4,7.4,,
1965,11,6.3,1.9,,
1965,12,6.6,1.3,,
1966,1,5.3,1.4,,
1966,2,6,1.7,,
1966,3,9,3,,
1966,4,8.4,2.7,,
1966,5,12.8,5.7,,
1966,6,15.7,9.5,,
1966,7,15.7,9.1,,
1966,8,15.3,8.6,,
1966,9,15.2,8.7,,
1966,10,10.9,5.4,,
1966,11,7.5,2.5,,
1966,12,7.2,2.2,,
1967,1,7,2.4,,
1967,2,7.1,2.1,,
1967,3,7.9,2.3,,
1967,4,9.5,3.1,,
1967,5,10.8,4.7,,
1967,6,15.5,7.3,,
1967,7,17,9.3,,
1967,8,15.9,9,,
1967,9,15,8.2,,
1967,10,11.4,5.4,,
1967,11,8.4,3,,
1967,12,7,2.6,,
1968,1,6.9,1.9,,
1968,2,4.3,-1.1,,
1968,3,7.9,1.8,,
1968,4,10.4,2.8,,
1968,5,10.6,3.8,,
1968,6,16.3,7.3,,
1968,7,15.3,7.9,,
1968,8,17.2,8.4,,
1968,9,14.6,8.8,,
1968,10,13.8,8.4,,
1968,11,8.4,4,,
1968,12,6.4,1.8,,
1969,1,6.6,2.3,,
1969,2,3.2,-1.4,,
1969,3,5.4,-0.4,,
1969,4,9.5,2.2,,
1969,5,12,5.3,,
1969,6,15.8,7.3,,
1969,7,17.8,10.1,,
1969,8,16.4,10.7,,
1969,9,14.8,8.8,,
1969,10,14.7,9.1,,
1969,11,6.6,1.2,,
1969,12,6.5,1.7,,
1970,1,6.4,1.8,,
1970,2,4.7,-1,,
1970,3,6.2,0.7,,
1970,4,8.8,2.4,,
1970,5,13.7,6.8,,
1970,6,17.6,9.4,,
1970,7,14.8,8.6,,
1970,8,17.2,10,,
1970,9,15.1,8.7,,
1970,10,12.1,6.7,,
1970,11,8.7,3.7,,
1970,12,7.1,2.9,,
1971,1,7.2,2.1,,
1971,2,7.3,2.3,,
1971,3,7.9,1.9,,
1971,4,9.5,3.1,,
1971,5,13.1,5.6,,
1971,6,13.5,7,,
1971,7,16.9,9.5,,
1971,8,15.9,9.4,,
1971,9,16.6,8.7,,
1971,10,13.4,7.8,,
1971,11,9,3.7,,
1971,12,8.7,4.5,,
1972,1,5.7,1.5,,
1972,2,6.3,1.3,,
1972,3,7.9,1.8,,
1972,4,10.2,3.7,,
1972,5,11.7,5.3,,
1972,6,12.7,5.9,,
1972,7,16.6,8.8,,
1972,8,14.9,8.9,,
1972,9,13.7,6.9,,
1972,10,12.4,7.1,,
1972,11,7.8,2.7,,
1972,12,8.1,2.7,,
1973,1,7.2,3.2,,
1973,2,6.4,1.8,,
1973,3,9.1,2.9,,
1973,4,8.5,3.8,,
1973,5,11.9,6.2,,
1973,6,16.5,8.1,,
1973,7,16.4,10.1,,
1973,8,17,10.3,,
1973,9,15.1,8.6,,
1973,10,11.2,5.8,,
1973,11,8.3,2.9,,
1973,12,7.5,1.9,,
1974,1,8.1,2.5,,
1974,2,7.1,1.9,,
1974,3,7.6,2,,
1974,4,11.4,2.2,,
1974,5,12,5.8,,
1974,6,15.4,7,,
1974,7,---,---,,
1974,8,17.1,9.2,,
1974,9,12.6,6.4,,
1974,10,9.8,4.7,,
1974,11,8.1,2.1,,
1974,12,8.9,3.8,,
1975,1,8.1,2.6,,
1975,2,7.5,2.4,,
1975,3,7,1.2,,
1975,4,10.1,3.6,,
1975,5,12.1,3.8,,
1975,6,16.6,7.6,,
1975,7,17.8,10,,
1975,8,19,10.6,,
1975,9,14.6,7.5,,
1975,10,12.4,6.8,,
1975,11,8.9,3.3,,
1975,12,7.9,3.3,,
1976,1,7.3,3.2,,
1976,2,7.1,2.8,,
1976,3,7.5,2.2,,
1976,4,10.5,3.6,,
1976,5,12.7,5.5,,
1976,6,18.6,9.1,,
1976,7,18,10.8,,
1976,8,19.4,9.1,,
1976,9,14.3,8.5,,
1976,10,11.7,5.5,,
1976,11,8.4,2.5,,
1976,12,4.6,-0.5,,
1977,1,5.3,-0.2,,
1977,2,5.7,0,,
1977,3,8.8,2.6,,
1977,4,9.2,2.5,,
