yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-5.439,56.451
1971,6,---,---,,
1971,7,---,---,,
1971,8,---,---,,
1971,9,---,---,,
1971,10,---,---,,
1971,11,---,---,,
1971,12,---,---,,
1972,1,6.5,2.7,,
1972,2,7.1,2.4,,
1972,3,9.1,3.3,,
1972,4,11,4.8,,
1972,5,13.5,7,,
1972,6,14,7.4,,
1972,7,17.8,9.9,,
1972,8,16.1,10.1,,
1972,9,15.1,7.3,,
1972,10,13.7,7.9,,
1972,11,8.8,3.2,,
1972,12,9,4.2,,
1973,1,7.3,3.8,,
1973,2,7,2.2,,
1973,3,9.4,3.3,,
1973,4,10.2,3.8,,
1973,5,13.5,6.8,,
1973,6,15.6,8.8,,
1973,7,17.6,11.2,,
1973,8,17.9,11.2,,
1973,9,15.6,9.3,,
1973,10,12.2,6.4,,
1973,11,8.6,3.6,,
1973,12,7.7,3,,
1974,1,8.7,3.8,,
1974,2,8,3.7,,
1974,3,8.9,2.8,,
1974,4,14,3.9,,
1974,5,---,7.3,,
1974,6,16.8,8.3,,
1974,7,15.9,10.2,,
1974,8,16.9,10.7,,
1974,9,14,8,,
1974,10,10.9,5.4,,
1974,11,8.9,3.7,,
1974,12,9.1,4.6,,
1975,1,8.5,3,,
1975,2,7.9,2.9,,
1975,3,8,1.8,,
1975,4,10.4,4.9,,
1975,5,14.4,4.1,,
1975,6,17.1,8.1,,
1975,7,18.2,11.2,,
1975,8,19.4,11.7,,
1975,9,14.5,8.6,,
1975,10,12.9,7.7,,
1975,11,9.3,4.3,,
1975,12,9.2,4.4,,
1976,1,8,3,,
1976,2,7.7,2.6,,
1976,3,7.6,2.9,,
1976,4,11.4,4.4,,
1976,5,13.5,7,,
1976,6,16.9,10,,
1976,7,19.9,12.4,,
1976,8,20.5,10.1,,
1976,9,15.8,10.2,,
1976,10,12.5,7.5,,
1976,11,8.9,4.1,,
1976,12,5.3,-0.6,,
1977,1,5.7,0.7,,
1977,2,6.1,1.5,,
1977,3,9.2,3.5,,
1977,4,9.1,3.4,,
1977,5,14.5,5.7,,
1977,6,15.8,7.1,,
1977,7,19.2,10.6,,
1977,8,18,10.1,,
1977,9,14.4,8.3,,
1977,10,14.1,9.3,,
1977,11,8.1,2.8,,
1977,12,8.4,3.9,,
1978,1,5.9,0.6,,
1978,2,5.3,-0.1,,
1978,3,8.4,3.6,,
1978,4,10.3,3,,
1978,5,15.6,6.4,,
1978,6,15.7,9.3,,
1978,7,16.3,9.9,,
1978,8,16.5,11.1,,
1978,9,15,10.7,,
1978,10,13.6,8.9,,
1978,11,10.7,5.2,,
1978,12,7,2.9,,
1979,1,4.4,-2.1,,
1979,2,4.9,-0.3,,
1979,3,6.5,1.1,,
1979,4,9.6,3.8,,
1979,5,11.7,4.7,,
1979,6,16.6,8.9,,
1979,7,15.8,10.4,,
1979,8,16.4,9.5,,
1979,9,14.9,8.9,,
1979,10,13.6,8.7,,
1979,11,9.1,3.2,,
1979,12,7.4,3,,
1980,1,5.6,0.7,,
1980,2,7.7,3,,
1980,3,7.2,1.8,,
1980,4,12.3,4.7,,
1980,5,16.5,6.3,,
1980,6,15.9,9.3,,
1980,7,17,10.4,,
1980,8,17.1,11.1,,
1980,9,15.9,10.7,,
1980,10,11.2,6,,
1980,11,9.4,4.1,,
1980,12,8.4,3.3,,
1981,1,7.6,2.5,,
1981,2,6.5,1.8,,
1981,3,9.2,3.1,,
1981,4,12.1,3.6,,
1981,5,15,7.5,,
1981,6,15.1,8.6,,
1981,7,16,10.5,,
1981,8,17.5,10.7,,
1981,9,16,10.4,,
1981,10,9.9,4.6,,
1981,11,9.9,5.1,,
1981,12,4.3,-0.8,,
1982,1,6.1,1.3,,
1982,2,7.7,3.1,,
1982,3,8.8,2.1,,
1982,4,11.4,4.7,,
1982,5,14.6,6.7,,
1982,6,17.9,9.6,,
1982,7,18.8,10.6,,
1982,8,16.8,11,,
1982,9,14.6,9.5,,
1982,10,12.9,7.6,,
1982,11,9.4,4.3,,
1982,12,7.3,1.9,,
1983,1,8.5,3.8,,
1983,2,5.9,0.2,,
1983,3,8.4,4.1,,
1983,4,9.7,2.3,,
1983,5,12.9,6.3,,
1983,6,15.8,9,,
1983,7,19.6,11.5,,
1983,8,19.3,11.8,,
1983,9,14.5,9.3,,
1983,10,12.3,7.1,,
1983,11,10.4,4.8,,
1983,12,8.9,4.2,,
1984,1,5.3,0.6,,
1984,2,7.2,2.5,,
1984,3,7.7,2.1,,
1984,4,12.6,4.4,,
1984,5,15.1,5.8,,
1984,6,15.9,9.6,,
1984,7,18.7,10.8,,
1984,8,19.5,11.2,,
1984,9,14.7,9.1,,
1984,10,12.7,7.6,,
1984,11,9.8,4.8,,
1984,12,8.7,3.7,,
1985,1,4.6,-1.1,,
1985,2,7,1.5,,
1985,3,7.6,1.9,,
1985,4,10.8,4.5,,
1985,5,14.5,6.6,,
1985,6,15.5,8.1,,
1985,7,16.6,10.7,,
1985,8,15.7,10.5,,
1985,9,14.5,9.5,,
1985,10,13.1,7.7,,
1985,11,7.5,0.7,,
1985,12,7.8,3.6,,
1986,1,6.2,0.8,,
1986,2,4.2,-1.4,,
1986,3,8,2.5,,
1986,4,9.2,1.7,,
1986,5,12.4,7,,
1986,6,17.9,9.1,,
1986,7,15.8,10.5,,
1986,8,16.2,8.6,,
1986,9,14.4,7.4,,
1986,10,12.5,7.9,,
1986,11,10.1,4.8,,
1986,12,7.5,2.9,,
1987,1,5,0,,
1987,2,7.4,1.1,,
1987,3,7.1,1.4,,
1987,4,12.5,5.3,,
1987,5,13.7,6.1,,
1987,6,15,8,,
1987,7,17.6,11.3,,
1987,8,16.8,10,,
1987,9,15.2,9.3,,
1987,10,11.5,5.6,,
1987,11,8.8,5,,
1987,12,8.4,3.3,,
1988,1,6.9,2.2,,
1988,2,7.3,2.6,,
1988,3,8,2.8,,
1988,4,11.4,4.7,,
1988,5,15.6,7.1,,
1988,6,17.7,9.7,,
1988,7,15.9,10.5,,
1988,8,16.5,10.9,,
1988,9,14.6,10.1,,
1988,10,12.5,7.5,,
1988,11,9.3,4.2,,
1988,12,9.9,5.9,,
1989,1,9.7,5.2,,
1989,2,8.1,2.6,,
1989,3,9,3,,
1989,4,9.8,3,,
1989,5,14.6,6.8,,
1989,6,16.1,8.4,,
1989,7,19.7,11.1,,
1989,8,16.4,11.4,,
1989,9,15.5,8.8,,
1989,10,13.1,8.2,,
1989,11,9.4,4.1,,
1989,12,7,1.4,,
1990,1,8.6,4,,
1990,2,8.1,3,,
1990,3,9.7,5,,
1990,4,10.6,4,,
1990,5,16,6.7,,
1990,6,15.6,9.3,,
1990,7,---,---,,
1990,8,17.3,11.9,,
1990,9,14.4,8.5,,
1990,10,12.9,8.4,,
1990,11,9.2,3.9,,
1990,12,7.9,2.8,,
1991,1,6.2,1.4,,
1991,2,6.1,0.4,,
1991,3,10.3,3.9,,
1991,4,10.8,4.8,,
1991,5,13.8,6.9,,
1991,6,14.8,7.6,,
1991,7,19.7,12.3,,
1991,8,18.1,12.1,,
1991,9,16.6,9,,
1991,10,12.4,6.7,,
1991,11,9.4,4.3,,
1991,12,8.7,3.8,,
1992,1,7.8,2.6,,
1992,2,8.5,3.7,,
1992,3,9,4.3,,
1992,4,10.5,5,,
1992,5,16.6,8,,
1992,6,17.8,10.5,,
1992,7,16.7,10.8,,
1992,8,16.1,10.4,,
1992,9,14.5,8.5,,
1992,10,10.9,4.2,,
1992,11,9.5,4,,
1992,12,6.8,2.3,,
1993,1,8.1,2.3,,
1993,2,8.4,4.4,,
1993,3,9.2,3,,
1993,4,11.6,5.2,,
1993,5,14.6,6.6,,
1993,6,16.5,10,,
1993,7,15.3,10,,
1993,8,15.8,9.6,,
1993,9,15.4,8,,
1993,10,11.1,5,,
1993,11,8.2,3.3,,
1993,12,6.6,1.6,,
