yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-3.821,57.593
1931,1,5,0.6,,
1931,2,6.7,0.7,,
1931,3,6.2,-1.5,,
1931,4,10.4,3.1,,
1931,5,13.2,6.1,,
1931,6,15.4,8,,
1931,7,17.3,10.6,,
1931,8,15.6,9.1,,
1931,9,15,8.4,,
1931,10,12.1,5.5,,
1931,11,10.3,3.9,,
1931,12,8.9,3.2,,
1932,1,9.8,2.9,,
1932,2,7.7,2.3,,
1932,3,7.7,1.6,,
1932,4,9.1,1.9,,
1932,5,11.9,5.9,,
1932,6,16,9,,
1932,7,17.9,10.4,,
1932,8,18.2,10.7,,
1932,9,15,8,,
1932,10,10.4,4.6,,
1932,11,8.7,2.2,,
1932,12,8.1,1.9,,
1933,1,5.8,-1.2,,
1933,2,6.2,0.4,,
1933,3,11.1,2.6,,
1933,4,11.8,4.6,,
1933,5,13.5,6.1,,
1933,6,18.6,9.5,,
1933,7,21.6,11.8,,
1933,8,19.9,12,,
1933,9,16.8,9.3,,
1933,10,12.6,6.9,,
1933,11,8.6,2.8,,
1933,12,6.5,0.9,,
1934,1,8.3,2.8,,
1934,2,9.5,4.2,,
1934,3,8,0.8,,
1934,4,9.5,3.8,,
1934,5,14.3,5.7,,
1934,6,16.7,8.6,,
1934,7,18.9,11.4,,
1934,8,18,10.3,,
1934,9,17.8,8.3,,
1934,10,12.5,5.6,,
1934,11,8.5,2.8,,
1934,12,9.1,3.5,,
1935,1,7.7,2.6,,
1935,2,7.5,1.3,,
1935,3,10.4,1.9,,
1935,4,9.6,3,,
1935,5,11.6,3.8,,
1935,6,16.3,9,,
1935,7,19.6,10.4,,
1935,8,19.3,11,,
1935,9,15.2,8.1,,
1935,10,10.9,5.1,,
1935,11,8.5,1.5,,
1935,12,4.5,-0.9,,
1936,1,4.5,-0.6,,
1936,2,5.8,-1.3,,
1936,3,9.6,2.8,,
1936,4,9.8,2.1,,
1936,5,13.7,6.2,,
1936,6,18.2,8,,
1936,7,18.1,11,,
1936,8,19,10.7,,
1936,9,16.3,9.4,,
1936,10,12.3,4.7,,
1936,11,8.5,1.9,,
1936,12,7.8,1.9,,
