yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-2.786,54.67
1959,1,3.5,-3.3,,
1959,2,7.4,0.5,,
1959,3,9.5,2.9,,
1959,4,11.4,3.7,,
1959,5,17.9,6.6,,
1959,6,18,9.2,,
1959,7,19.3,10.4,,
1959,8,20,10.6,,
1959,9,18.5,7.3,,
1959,10,15.4,7.2,,
1959,11,8.9,3.6,,
1959,12,7.2,2.1,,
1960,1,5.5,-0.4,,
1960,2,5.4,-0.7,,
1960,3,8,2.4,,
1960,4,12.2,3.9,,
1960,5,16.5,6.4,,
1960,6,20.3,9.1,,
1960,7,17.5,10,,
1960,8,17.6,8.9,,
1960,9,15.5,7.7,,
1960,10,12.5,5.8,,
1960,11,8.3,2.4,,
1960,12,5.5,-0.5,,
1961,1,5.1,-0.5,,
1961,2,8.5,2.6,,
1961,3,10.8,4.5,,
1961,4,12.4,5,,
1961,5,14.3,5.4,,
1961,6,16.5,8.5,,
1961,7,16.6,9.8,,
1961,8,17.2,9.1,,
1961,9,17.6,9.9,,
1961,10,12.7,6.5,,
1961,11,8.5,2.3,,
1961,12,3.9,-3,,
1962,1,6.5,0,,
1962,2,6.7,0.5,,
1962,3,5.3,-2.1,,
1962,4,10.7,2.4,,
1962,5,13.6,5.2,,
1962,6,16.8,7.1,,
1962,7,17.2,9,,
1962,8,16,9.7,,
1962,9,14.5,8.2,,
1962,10,13,5,,
1962,11,7.1,0.8,,
1962,12,5.2,-1.9,,
1963,1,1.7,-4,,
1963,2,1.8,-5.4,,
1963,3,8.3,1.7,,
1963,4,11.1,3.7,,
1963,5,13.3,5.1,,
1963,6,18,8.9,,
1963,7,18.1,9.2*,,
1963,8,16.4,9.4,,
1963,9,15.7,7.1,,
1963,10,12.7,6.2,,
1963,11,9.2,3.3,,
1963,12,4.7,-0.6,,
1964,1,6.4,0.5,,
1964,2,6.3,0.8,,
1964,3,6,0.9,,
1964,4,11.1,4.6,,
1964,5,15.8,7.5,,
1964,6,15.6,8.9,,
1964,7,17.7,10.7,,
1964,8,17.7,9.5,,
1964,9,16.6,7.7,,
1964,10,11.5,4.5,,
1964,11,9.8,3,,
1964,12,5.5,-0.8,,
1965,1,4.8,-0.8,,
1965,2,5.2,0.3,,
1965,3,7.8,-0.3,,
1965,4,11.3,2.4,,
1965,5,14.3,6.1,,
1965,6,17.6,8.7,,
1965,7,16.4,8.7,,
1965,8,17.1,9.4,,
1965,9,14.3,7.5,,
1965,10,13.5,5.8,,
1965,11,5.8,-0.1,,
1965,12,5.8,0,,
1966,1,4.1,-0.3,,
1966,2,6,1.3,,
1966,3,8.7,2.9,,
1966,4,8,2.3,,
1966,5,14.5,5.1,,
1966,6,18.1,9.7,,
1966,7,17.7,9.2,,
1966,8,17.1,9,,
1966,9,16.1,9.1,,
1966,10,11.7,4.9,,
1966,11,7.6,2,,
1966,12,6.6,1.1,,
