yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-6.318,58.214
1873,7,16.7,9.9,,
1873,8,15.5,8.9,,
1873,9,12.2,5.9,,
1873,10,9,2.4,,
1873,11,7.6,2.1,,
1873,12,8.7,2.8,,
1874,1,6.6,1.1,,
1874,2,7.1,2,,
1874,3,8.2,3.1,,
1874,4,11,3.8,,
1874,5,11.9,4.5,,
1874,6,15,7.6,,
1874,7,17.6,10.3,,
1874,8,15.1,8.7,,
1874,9,12.9,6.9,,
1874,10,10.1,3.9,,
1874,11,7.6,3,,
1874,12,3,-2.2,,
1875,1,6.9,2.1,,
1875,2,5.1,0.7,,
1875,3,7.7,1.8,,
1875,4,11.2,2.7,,
1875,5,13.2,6.6,,
1875,6,14.8,6.4,,
1875,7,16.2,8,,
1875,8,16.1,9.6,,
1875,9,14.5,7.8,,
1875,10,10.4,4.9,,
1875,11,6.5,1.4,,
1875,12,7,1.9,,
1876,1,7.3,2,,
1876,2,4.5,-0.4,,
1876,3,5.6,-0.2,,
1876,4,8.5,2.7,,
1876,5,12.9,4.9,,
1876,6,15.2,8.4,,
1876,7,16.2,9.8,,
1876,8,16.3,9.3,,
1876,9,12.5,7,,
1876,10,11.3,6.3,,
1876,11,7.9,3.2,,
1876,12,6.4,2.5,,
1877,1,5.5,0,,
1877,2,5.7,0.6,,
1877,3,6.7,0.4,,
1877,4,8.4,1.8,,
1877,5,10.7,4,,
1877,6,14.8,7.6,,
1877,7,15.1,9,,
1877,8,14.2,8.6,,
1877,9,12.7,6.2,,
1877,10,10.1,4.2,,
1877,11,7.4,1.6,,
1877,12,6.7,1.4,,
1878,1,5.9,0.6,,
1878,2,8.3,3.5,,
1878,3,6.5,1.5,,
1878,4,10.3,4.3,,
1878,5,12.4,5.9,,
1878,6,14.6,8.5,,
1878,7,16.5,10.9,,
1878,8,16.9,10.4,,
1878,9,13.9,8.7,,
1878,10,11.3,6.7,,
1878,11,5.9,1.5,,
1878,12,3.1,-1,,
1879,1,3.7,0,,
1879,2,4.6,0.6,,
1879,3,5.5,0.1,,
1879,4,7.3,2.2,,
1879,5,10,4.2,,
1879,6,13.3,8,,
1879,7,13.5,9.5,,
1879,8,14.4,9.6,,
1879,9,12.8,7.5,,
1879,10,10.2,4.4,,
1879,11,7.4,3.1,,
1879,12,6.3,0.8,,
1880,1,---,---,,
1880,2,7.4,3,,
1880,3,8.6,2.6,,
1880,4,9.3,3.9,,
1880,5,11.2,5.7,,
1880,6,14.4,8.3,,
1880,7,15.7,10.5,,
1880,8,18.5,11.9,,
1880,9,15.5,10,,
1880,10,8.9,2.3,,
1880,11,7.3,1.6,,
1880,12,5.1,0,,
1881,1,3.1,-2.6,,
1881,2,4.8,0.2,,
1881,3,6.1,-0.1,,
1881,4,9.6,2.1,,
1881,5,13,5.9,,
1881,6,13.2,6.8,,
1881,7,14.4,9.3,,
1881,8,13.5,7.2,,
1881,9,13.5,8.1,,
1881,10,10.6,5,,
1881,11,10.3,5,,
1881,12,6.7,2.1,,
1882,1,8.2,3.3,,
1882,2,8.4,3.9,,
1882,3,8.2,2.9,,
1882,4,8.9,2.1,,
