yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-1.25,52.836
1959,1,4.2,-2.4,,
1959,2,7,0.9,,
1959,3,10.7,3.2,,
1959,4,13.8,5.1,,
1959,5,17.6,6.1,,
1959,6,20.6,9.7,,
1959,7,23.3,11.5,,
1959,8,23.2,11.8,,
1959,9,20.9,8,,
1959,10,17.7,6.8,,
1959,11,9.6,3,,
1959,12,8.5,2.9,,
1960,1,6.5,1.4,,
1960,2,7,0.8,,
1960,3,9.4,3,,
1960,4,13.7,4.3,,
1960,5,17.5,7.1,,
1960,6,21.7,10.1,,
1960,7,20,10.5,,
1960,8,19.9,10,,
1960,9,16.8,8.6,,
1960,10,13,6.5,,
1960,11,10.4,3.7,,
1960,12,6.5,1.1,,
1961,1,6.1,0.5,,
1961,2,9.9,3.8,,
1961,3,13.1,3.3,,
1961,4,13.9,5.8,,
1961,5,15.1,5.4,,
1961,6,19.8,8.7,,
1961,7,19.3,10.3,,
1961,8,19.9,10.8,,
1961,9,19.7,10.2,,
1961,10,14.5,6.6,,
1961,11,9.2,2.7,,
1961,12,4.9,*   -1.2,,
1962,1,7.4,*    0.5,,
1962,2,7.4,1.1,,
1962,3,6.4,-1.7,,
1962,4,11.5,3.1,,
1962,5,14,5.7,,
1962,6,18.5,7.8,,
1962,7,18.9,10.3,,
1962,8,18.3,10,,
1962,9,16.4,8.6,,
1962,10,14.1,5.8,,
1962,11,8.3,2.1,,
1962,12,4.5,-2.6,,
1963,1,0.3,-5.5,,
1963,2,1.8,-3.5,,
1963,3,9.1,1.8,,
1963,4,12.2,4.4,,
1963,5,15,5.9,,
1963,6,19.2,9.7,,
1963,7,19.7,9.4,,
1963,8,17.7,9.8,,
1963,9,16.8,8.1,,
1963,10,14.2,6.9,,
1963,11,10.6,4.6,,
1963,12,5.4,-0.5,,
1964,1,5.3,-0.3,,
1964,2,7.2,1.3,,
1964,3,6.5,0.9,,
1964,4,12.6,4.6,,
1964,5,18.4,7.9,,
1964,6,17.5,9.1,,
1964,7,20.2,11.3,,
1964,8,20.1,10.3,,
1964,9,19.2,7.4,,
1964,10,12.6,3.6,,
1964,11,10.3,4.1,,
1964,12,6.4,-0.7,,
1965,1,5.9,0.2,,
1965,2,5.9,0.7,,
1965,3,9.5,0.6,,
1965,4,12.3,3.7,,
