yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-6.88,56.5
1928,1,---,---,,
1928,2,---,---,,
1928,3,---,---,,
1928,4,---,---,,
1928,5,---,---,,
1928,6,---,---,,
1928,7,---,---,,
1928,8,---,---,,
1928,9,---,---,,
1928,10,---,---,,
1928,11,---,---,,
1928,12,---,---,,
1929,1,---,---,,
1929,2,---,---,,
1929,3,---,---,,
1929,4,---,---,,
1929,5,---,---,,
1929,6,---,---,,
1929,7,---,---,,
1929,8,---,---,,
1929,9,---,---,,
1929,10,---,---,,
1929,11,---,---,,
1929,12,---,---,,
1930,1,---,---,,
1930,2,---,---,,
1930,3,---,---,,
1930,4,---,---,,
1930,5,---,---,,
1930,6,---,---,,
1930,7,---,---,,
1930,8,---,---,,
1930,9,---,---,,
1930,10,---,---,,
1930,11,---,---,,
1930,12,8.2,3.9,,
1931,1,7.5,3.4,,
1931,2,7,2.4,,
1931,3,6.9,2.7,,
1931,4,9.3,4.7,,
1931,5,12.5,7.6,,
1931,6,13.3,9.2,,
1931,7,15,10.8,,
1931,8,15.6,10.6,,
1931,9,13.6,9.6,,
1931,10,11.7,7.1,,
1931,11,10.4,6.1,,
1931,12,9.6,5.9,,
1932,1,9.4,5.3,,
1932,2,8.3,3.1,,
1932,3,8.4,2.5,,
1932,4,9,3.8,,
1932,5,12.3,7.1,,
1932,6,15.8,10.3,,
1932,7,15.7,11.6,,
1932,8,16.3,11.4,,
1932,9,13.7,9.9,,
1932,10,11.3,6.3,,
1932,11,9.6,5.2,,
1932,12,8.3,4.1,,
1933,1,6.6,2.5,,
1933,2,7.1,3.1,,
1933,3,9.2,4.4,,
1933,4,10.7,5.9,,
1933,5,12.8,7.8,,
1933,6,15.6,10.8,,
1933,7,17.2,12.4,,
1933,8,16.6,11.7,,
1933,9,16.4,10.5,,
1933,10,12.7,8.7,,
1933,11,9.1,4.7,,
1933,12,7.3,3.1,,
1934,1,8.5,4,,
1934,2,8.7,5.3,,
1934,3,7.7,2.5,,
1934,4,9,4.7,,
1934,5,11.6,6.6,,
1934,6,15.1,9.7,,
1934,7,17.5,12.4,,
1934,8,15.7,11.9,,
1934,9,14.8,10.3,,
1934,10,11.5,7.5,,
1934,11,9.2,4.7,,
1934,12,9.1,6.5,,
1935,1,8.3,3.9,,
1935,2,7.9,3.7,,
1935,3,9.4,4.6,,
1935,4,10,4.7,,
1935,5,13.2,6.9,,
1935,6,15,9.5,,
1935,7,16.4,11.3,,
1935,8,16.5,12.1,,
1935,9,15.1,10.5,,
1935,10,11.7,7.6,,
1935,11,9.2,5,,
1935,12,6.7,2.3,,
1936,1,6.6,2.6,,
1936,2,6.7,1.9,,
1936,3,8.8,4.2,,
1936,4,9.4,4.3,,
1936,5,13.3,7.2,,
1936,6,15.5,9.4,,
1936,7,16.7,11.2,,
1936,8,16.4,11.8,,
1936,9,15.8,10.3,,
1936,10,12.7,7.7,,
1936,11,9.7,5,,
1936,12,8.7,4.6,,
1937,1,7.9,3.9,,
1937,2,7.1,2.6,,
1937,3,6.4,1.1,,
1937,4,10.5,5.7,,
1937,5,13.2,7.1,,
1937,6,14.5,9.8,,
1937,7,15.7,10.9,,
1937,8,16.5,11.3,,
1937,9,14.4,10.6,,
1937,10,12.2,8,,
1937,11,9.4,5.4,,
1937,12,7,3,,
1938,1,8.3,4,,
1938,2,7.9,3.5,,
1938,3,10.1,6.6,,
1938,4,10.3,5.8,,
1938,5,12.4,7,,
1938,6,13.3,9.4,,
1938,7,15.2,10.4,,
1938,8,16.9,10.9,,
1938,9,15,10.5,,
1938,10,12,8.3,,
1938,11,10.3,6.6,,
1938,12,7.6,3.6,,
1939,1,6.6,2.6,,
1939,2,8.3,4.5,,
1939,3,8.8,4.1,,
1939,4,10.5,5.3,,
1939,5,12.5,7.4,,
1939,6,15.6,9.1,,
1939,7,15.5,10.7,,
1939,8,17.4,11.1,,
1939,9,15.7,10.5,,
1939,10,11.9,6.6,,
1939,11,10.4,6.3,,
1939,12,8.1,4.3,,
1940,1,5.3,1.4,,
1940,2,6.3,2.1,,
1940,3,8.5,2.8,,
1940,4,11,5.4,,
1940,5,14,7.9,,
1940,6,17.6,10.4,,
1940,7,15.8,10.8,,
1940,8,15.9,11.5,,
1940,9,13.9,9.2,,
1940,10,11.9,7.8,,
1940,11,9.5,5.3,,
1940,12,8,3.8,,
1941,1,4.8,0.6,,
1941,2,6.5,1.1,,
1941,3,8,2.5,,
1941,4,9.1,3.9,,
1941,5,12.1,5.9,,
1941,6,15.5,10.1,,
1941,7,16.2,11.4,,
1941,8,15.5,11,,
1941,9,16.2,11.6,,
1941,10,13.3,9.1,,
1941,11,10,5.3,,
1941,12,9.3,5.8,,
1942,1,7.2,3.2,,
1942,2,6.9,2.5,,
1942,3,7.5,2.8,,
1942,4,11.8,5.2,,
1942,5,12.9,6.7,,
1942,6,13.6,9.2,,
1942,7,15.3,10.8,,
1942,8,15.9,12.3,,
1942,9,13.9,9.9,,
1942,10,11.9,7.4,,
1942,11,9.7,5.1,,
1942,12,9.7,5.5,,
1943,1,7.8,4.3,,
1943,2,9.1,4.5,,
1943,3,9.8,4.3,,
1943,4,11,6.2,,
1943,5,12.6,6.9,,
1943,6,14.7,9.5,,
1943,7,16.7,10.7,,
1943,8,15.9,10.8,,
1943,9,14.6,9.4,,
1943,10,13.2,8.5,,
1943,11,9.8,5.2,,
1943,12,8.7,4.6,,
1944,1,9,5,,
1944,2,7.7,2.6,,
1944,3,8.6,3.3,,
1944,4,11.3,6.4,,
1944,5,12.2,7.2,,
1944,6,13.9,9.1,,
1944,7,17,11.7,,
1944,8,17.4,11.1,,
1944,9,14.2,9,,
1944,10,11.6,6.7,,
1944,11,9.1,3.7,,
1944,12,8.2,3.6,,
1945,1,5.5,-0.2,,
1945,2,9,4.7,,
1945,3,10.6,6.4,,
1945,4,11,5.8,,
1945,5,12.9,7.2,,
1945,6,14.7,9.1,,
1945,7,16.4,11.6,,
1945,8,17.1,11.6,,
1945,9,15.8,10.8,,
1945,10,13.7,9.5,,
1945,11,11.5,7.3,,
1945,12,9.4,5.2,,
1946,1,8,4.1,,
1946,2,8.4,3.8,,
1946,3,8.8,3.7,,
1946,4,11,5.2,,
1946,5,14.4,6.6,,
1946,6,14.1,8.6,,
1946,7,15.3,10.8,,
1946,8,15.5,10,,
1946,9,15.2,10.3,,
1946,10,12.5,7.7,,
1946,11,10.4,5.4,,
1946,12,8.1,3,,
1947,1,6.8,2.2,,
1947,2,3.4,-2.1,,
1947,3,6.4,-0.2,,
1947,4,9.8,4.1,,
1947,5,13.4,7.1,,
1947,6,14.2,9.2,,
1947,7,16.3,10.5,,
1947,8,19.5,12.3,,
1947,9,15.4,10,,
1947,10,13.6,9.1,,
1947,11,9.7,5,,
1947,12,8.8,4.5,,
1948,1,7.2,2.3,,
1948,2,8.3,2.8,,
1948,3,10.4,5.7,,
1948,4,11.4,5.3,,
1948,5,13.4,6.4,,
1948,6,14.6,9.1,,
1948,7,16.1,10.5,,
1948,8,15.7,10.9,,
1948,9,14.7,9.9,,
1948,10,12.1,7.7,,
1948,11,11,7.1,,
1948,12,9.3,5.3,,
1949,1,8.6,3.6,,
1949,2,9,4.2,,
1949,3,9.1,3.5,,
1949,4,11.1,5.8,,
1949,5,12.7,6.8,,
1949,6,16.1,9.1,,
1949,7,17,11.5,,
1949,8,16.3,11.5,,
1949,9,16.7,11,,
1949,10,13.5,9.4,,
1949,11,10.3,6,,
1949,12,8.3,3.2,,
1950,1,8.4,5.3,,
1950,2,7.4,2,,
1950,3,9.7,5,,
1950,4,9.5,3.7,,
1950,5,14.1,7,,
1950,6,15.4,9.6,,
1950,7,16.7,11.4,,
1950,8,16.7,11.4,,
1950,9,14.1,9.7,,
1950,10,11.7,7.5,,
1950,11,8.8,3.5,,
1950,12,5.5,1.2,,
1951,1,6.9,2.5,,
1951,2,6.2,1.4,,
1951,3,6.9,2.1,,
1951,4,8.7,3,,
1951,5,12.9,5.8,,
1951,6,15.1,8.7,,
1951,7,15.7,11.1,,
1951,8,15.8,10.7,,
1951,9,15.2,10.3,,
1951,10,13.1,8.8,,
1951,11,11,6.1,,
1951,12,8.7,4.2,,
1952,1,6.2,1.6,,
1952,2,7.5,3.1,,
1952,3,9.2,4.1,,
1952,4,11.3,5.8,,
1952,5,13.8,7.7,,
1952,6,13.7,8.5,,
1952,7,16.1,11,,
1952,8,16.4,10.9,,
1952,9,13.4,7.5,,
1952,10,11.5,7,,
1952,11,8.3,3.2,,
1952,12,7.9,2.9,,
1953,1,8.2,4.4,,
1953,2,8.3,3.7,,
1953,3,9.6,4.5,,
1953,4,9.8,3.4,,
1953,5,13.7,7.9,,
1953,6,15.5,9.9,,
1953,7,15.7,11,,
1953,8,16.4,11.3,,
1953,9,15.3,10.6,,
1953,10,13.1,9.1,,
1953,11,10.9,6.7,,
1953,12,10,6.1,,
1954,1,7.5,3.4,,
1954,2,6.5,2.2,,
1954,3,8.5,3.4,,
1954,4,11,4.9,,
1954,5,13,7.6,,
1954,6,14.8,9.6,,
1954,7,14.7,10,,
1954,8,15.4,10.6,,
1954,9,14.1,8.7,,
1954,10,12.4,8,,
1954,11,9.8,4.7,,
1954,12,9.2,5.1,,
1955,1,5.6,1.4,,
1955,2,5.1,0.2,,
1955,3,7.9,1.9,,
1955,4,11.6,5.9,,
1955,5,12.1,5.8,,
1955,6,15.2,9.3,,
1955,7,17.9,11.5,,
1955,8,18,12.3,,
1955,9,15.6,11,,
1955,10,11.9,7.2,,
1955,11,11,8,,
1955,12,8.3,3.5,,
1956,1,6.9,2.6,,
1956,2,6.6,1.2,,
1956,3,9.3,4.5,,
1956,4,10,4,,
1956,5,12.5,7.7,,
1956,6,14.1,8.4,,
1956,7,16.3,11.1,,
1956,8,14.6,9.7,,
1956,9,15,10.1,,
1956,10,11.9,7.8,,
1956,11,10.2,6.6,,
1956,12,9,5.1,,
1957,1,8.6,3.6,,
1957,2,7.4,2.3,,
1957,3,9.7,6.3,,
1957,4,11.4,5.6,,
1957,5,12.7,7.1,,
1957,6,15.8,9.6,,
1957,7,15.9,11.2,,
1957,8,16.5,11.4,,
1957,9,13.7,9.1,,
1957,10,12.5,8.1,,
1957,11,9.8,5.9,,
1957,12,8.7,4.6,,
1958,1,7,2.7,,
1958,2,6.9,2,,
1958,3,6.9,2.2,,
1958,4,10.1,4.7,,
1958,5,12.1,5.7,,
1958,6,15,9.7,,
1958,7,16.4,10.8,,
1958,8,16,11.4,,
1958,9,16.7,11.4,,
1958,10,13,9,,
1958,11,11,7.1,,
1958,12,8.3,3.8,,
1959,1,6.2,1.5,,
1959,2,8.8,4.8,,
1959,3,9.2,5.3,,
1959,4,10.9,5.6,,
1959,5,15.3,8,,
1959,6,15.1,10.1,,
1959,7,16.2,11.3,,
1959,8,16.7,11.9,,
1959,9,16.3,11,,
1959,10,14.5,10,,
1959,11,10.3,6.3,,
1959,12,8.7,3.9,,
1960,1,7.6,2.8,,
1960,2,6.8,2.3,,
1960,3,8.6,4.1,,
1960,4,11.3,6,,
1960,5,14.4,8.4,,
1960,6,16.2,10.9,,
1960,7,16.5,11.2,,
1960,8,16.4,11,,
1960,9,15.3,9.8,,
1960,10,12.7,8,,
1960,11,10.1,5.7,,
1960,12,7.9,3.5,,
1961,1,7.4,2.5,,
1961,2,8.8,4.6,,
1961,3,10.2,6.1,,
1961,4,10.9,5.9,,
1961,5,12.8,7.3,,
1961,6,14.5,9.5,,
1961,7,14.9,10.5,,
1961,8,15.3,10.8,,
1961,9,15,10.5,,
1961,10,12.4,8,,
1961,11,9.3,3.8,,
1961,12,6.3,1.6,,
1962,1,7.9,3.1,,
1962,2,7.9,2.6,,
1962,3,6.3,0.9,,
1962,4,10.5,3.5,,
1962,5,12.3,5.9,,
1962,6,14.2,9.2,,
1962,7,16.1,10.2,,
1962,8,15.3,10.3,,
1962,9,14.1,9.2,,
1962,10,13,8.9,,
1962,11,9.6,5,,
1962,12,7.8,3.6,,
1963,1,4.5,-0.2,,
1963,2,4.7,0.2,,
1963,3,8.7,3.6,,
1963,4,10.3,4.2,,
1963,5,11.8,6.1,,
1963,6,16.1,9.9,,
1963,7,15.7,10.3,,
1963,8,14.9,9.8,,
1963,9,13.9,9.7,,
1963,10,12.5,8.8,,
1963,11,9.9,4.9,,
1963,12,7.5,3.3,,
1964,1,8.5,4.9,,
1964,2,7.5,3.7,,
1964,3,7.7,3.7,,
1964,4,10.9,4.9,,
1964,5,13.8,8.2,,
1964,6,14.1,8.8,,
1964,7,15.2,10.7,,
1964,8,15.1,10.3,,
1964,9,14.8,10.3,,
1964,10,12.1,7.4,,
1964,11,10.3,6.2,,
1964,12,7.9,3,,
1965,1,6.8,1.8,,
1965,2,7.4,2.6,,
1965,3,7.9,2.9,,
1965,4,10.2,4.3,,
1965,5,12.1,7.5,,
1965,6,14.5,10,,
1965,7,14.9,10,,
1965,8,15.1,10.5,,
1965,9,13.5,9.4,,
1965,10,13,8.8,,
1965,11,7.8,3.5,,
1965,12,7.5,2.8,,
1966,1,6.2,2.3,,
1966,2,6.6,3,,
1966,3,9.2,4.2,,
1966,4,8.7,3.2,,
1966,5,12.2,6.2,,
1966,6,15.3,10.1,,
1966,7,15.5,10.6,,
1966,8,16,10,,
1966,9,14.9,11,,
1966,10,12,7,,
1966,11,8.5,3.5,,
1966,12,8,3.4,,
1967,1,7.5,3.5,,
1967,2,8,4.1,,
1967,3,8.8,3.8,,
1967,4,10.1,4.6,,
1967,5,12,5.8,,
1967,6,14.6,8.8,,
1967,7,15.3,10.9,,
1967,8,16,10.9,,
1967,9,14.9,10.3,,
1967,10,11.8,6.9,,
1967,11,9.6,5.2,,
1967,12,7.8,4,,
1968,1,7.6,3.5,,
1968,2,5.9,0.5,,
1968,3,8.5,3.5,,
1968,4,10.5,4.6,,
1968,5,11.1,5.9,,
1968,6,15.3,8.9,,
1968,7,16,10.3,,
1968,8,17.2,10.1,,
1968,9,15.1,10.1,,
1968,10,13.5,9.4,,
1968,11,9.4,5.5,,
1968,12,7.7,3.7,,
1969,1,7.5,3.2,,
1969,2,5.1,-0.1,,
1969,3,7.5,1.8,,
1969,4,10.2,4.1,,
1969,5,12.2,6.3,,
1969,6,15.6,8.9,,
1969,7,15.6,10.8,,
1969,8,16.5,11.7,,
1969,9,14.8,10.3,,
1969,10,14.3,10.2,,
1969,11,7.8,2.7,,
1969,12,7.8,3.6,,
1970,1,7.2,3.2,,
1970,2,6.3,0.4,,
1970,3,7.3,1.7,,
1970,4,9,3.4,,
1970,5,13,7.8,,
1970,6,17.2,10.8,,
1970,7,14.2,9.6,,
1970,8,16.1,11.3,,
1970,9,14.3,10.2,,
1970,10,12.2,8.1,,
1970,11,9.5,4.8,,
1970,12,8.2,4,,
1971,1,8.2,4.4,,
1971,2,8.3,4.4,,
1971,3,9,4,,
1971,4,10.6,5,,
1971,5,13,7.5,,
1971,6,14.2,8.2,,
1971,7,16.1,11,,
1971,8,16.3,10.9,,
1971,9,15.7,10.5,,
1971,10,13.5,9,,
1971,11,9.7,5.3,,
1971,12,9.7,6.1,,
1972,1,7,3,,
1972,2,7.5,3.5,,
1972,3,8.9,3.6,,
1972,4,10.3,4.9,,
1972,5,12.6,7.2,,
1972,6,12.9,7.9,,
1972,7,15.4,10.1,,
1972,8,14.7,10.2,,
1972,9,14.1,8.3,,
1972,10,13.2,8.8,,
1972,11,9.3,4.1,,
1972,12,9.1,4.8,,
1973,1,8.2,4.7,,
1973,2,7.3,2.9,,
1973,3,9,4.6,,
1973,4,9.4,3.7,,
1973,5,12.2,6.4,,
1973,6,14.1,8.8,,
1973,7,15.8,11.1,,
1973,8,16.2,11.6,,
1973,9,14.8,9.5,,
1973,10,11.7,7,,
1973,11,8.9,4.6,,
1973,12,8,3.4,,
1974,1,8.7,4.1,,
1974,2,7.9,3.9,,
1974,3,8.3,3.2,,
1974,4,11.7,4.7,,
1974,5,12.6,7.5,,
1974,6,14.7,8.8,,
1974,7,15.1,10.2,,
1974,8,16,10.9,,
1974,9,13.7,8.8,,
1974,10,10.9,6.8,,
1974,11,8.9,4.4,,
1974,12,9.2,5,,
1975,1,8.2,3.5,,
1975,2,8,4.4,,
1975,3,7.7,2.5,,
1975,4,9.6,5.1,,
1975,5,12.1,5.8,,
1975,6,15,8.9,,
1975,7,16.5,11.5,,
1975,8,17.3,12.2,,
1975,9,14.2,9.4,,
1975,10,12.8,9.1,,
1975,11,9.7,5.6,,
1975,12,9.2,5.1,,
1976,1,8.4,4.1,,
1976,2,7.6,3.5,,
1976,3,7.9,3.8,,
1976,4,10.7,5.6,,
1976,5,12.4,7.2,,
1976,6,15,10.3,,
1976,7,17.3,12.5,,
1976,8,18.5,11.2,,
1976,9,14.9,10.3,,
1976,10,12.3,7.9,,
1976,11,9.6,5,,
1976,12,6.1,2.2,,
1977,1,6.5,2.5,,
1977,2,6.3,2.1,,
1977,3,8.7,4.4,,
1977,4,9.2,4,,
1977,5,12.9,6.5,,
1977,6,14.2,7.6,,
1977,7,16.7,11.1,,
1977,8,16.5,10.8,,
1977,9,14.1,9.1,,
1977,10,13.2,9.6,,
1977,11,9.1,3.9,,
1977,12,8.6,4.9,,
1978,1,6.5,2.1,,
1978,2,6.1,1.2,,
1978,3,8.3,3.9,,
1978,4,9.6,3.9,,
1978,5,13.8,7.1,,
1978,6,14.4,9.3,,
1978,7,15.1,10.3,,
1978,8,15.4,11.2,,
1978,9,14.6,10.6,,
1978,10,13.1,9.4,,
1978,11,10.6,5.9,,
1978,12,7.4,4,,
1979,1,5.3,0.1,,
1979,2,5.4,0.8,,
1979,3,6.8,1.5,,
1979,4,9.1,4.1,,
1979,5,10.1,5,,
1979,6,14.7,9.2,,
1979,7,14.6,10.6,,
1979,8,15.3,10.4,,
1979,9,14.1,9.5,,
1979,10,12.9,8.9,,
1979,11,9.4,4.5,,
1979,12,8.1,3.9,,
1980,1,6.8,2.6,,
1980,2,7.5,3.5,,
1980,3,7.6,2.5,,
1980,4,10.8,5.6,,
1980,5,14.1,7.2,,
1980,6,14.6,9.6,,
1980,7,15.4,10.5,,
1980,8,16.1,11.7,,
1980,9,15.3,11.2,,
1980,10,11.4,7.1,,
1980,11,9.5,5,,
1980,12,8.6,4.5,,
1981,1,8.2,3.5,,
1981,2,6.9,3.1,,
1981,3,8.8,3.9,,
1981,4,10.5,4.7,,
1981,5,13.2,7.5,,
1981,6,13.9,8.8,,
1981,7,15.2,10.6,,
1981,8,16.1,11.2,,
1981,9,15.4,10.7,,
1981,10,10.4,5.2,,
1981,11,10.1,5.6,,
1981,12,5.8,1.4,,
1982,1,6.5,2.8,,
1982,2,8,3.9,,
1982,3,8.5,3.2,,
1982,4,10.8,5.5,,
1982,5,12.9,6.8,,
1982,6,16.4,10.1,,
1982,7,17,11.2,,
1982,8,16.3,11,,
1982,9,14.4,9.5,,
1982,10,12.9,8.2,,
1982,11,9.8,5,,
1982,12,7.9,2.9,,
1983,1,8.6,3.6,,
1983,2,6.5,1.3,,
1983,3,8.9,4.4,,
1983,4,9.3,2.6,,
1983,5,12.1,6,,
1983,6,14.4,8.8,,
1983,7,17.9,11.3,,
1983,8,17.6,11.7,,
1983,9,14.4,9.7,,
1983,10,12.5,7.6,,
1983,11,10.7,6.1,,
1983,12,9.4,4.5,,
1984,1,6.2,0.9,,
1984,2,7.8,3.2,,
1984,3,8.1,2.6,,
1984,4,11.3,5.3,,
1984,5,12.7,5.9,,
1984,6,14.7,9.7,,
1984,7,16.5,11.4,,
1984,8,17.8,12,,
1984,9,14.4,9.6,,
1984,10,12.4,7.8,,
1984,11,9.9,4.9,,
1984,12,9.1,4.5,,
1985,1,5.2,0.2,,
1985,2,6.7,2.8,,
1985,3,7.5,2.1,,
1985,4,10.3,4.7,,
1985,5,12.9,6.3,,
1985,6,14.6,8.2,,
1985,7,15.5,10.7,,
1985,8,15.1,10.6,,
1985,9,14.1,9.9,,
1985,10,13.1,9,,
1985,11,8,1.9,,
1985,12,8.6,3.9,,
1986,1,6.9,2,,
1986,2,4.4,-1,,
1986,3,8.2,3,,
1986,4,8.9,2.3,,
1986,5,11.5,6.7,,
1986,6,15.4,8.7,,
1986,7,15.1,10.3,,
1986,8,14.9,9.1,,
1986,9,13.6,8.3,,
1986,10,12.3,8.3,,
1986,11,10.4,5.2,,
1986,12,8.1,3.4,,
1987,1,5.9,1.8,,
1987,2,7.5,2,,
1987,3,7,2.1,,
1987,4,10.9,5.5,,
1987,5,12.2,6.4,,
1987,6,13.5,8.3,,
1987,7,15.9,11.1,,
1987,8,15.5,10.3,,
